<CorIFA-UFMG-B1.Ind.E.Abs.2016-2.0916.0513>
<Assessment the effects of Syzygium cumini on soil physicochemical properties in riparian forest>
<Abstract>
Riparian ^np+++??+=Riparian
forest ^nn++++=forest
provides ^vbz+vsua+++=provides
important ^jj+atrb+++=important
environmental ^jj+atrb+++=environmental
services ^nns++++=services
for ^in++++=for
physics ^nn++++=physics
soil ^nn++++=soil
and ^cc++++=and
the ^ati++++=the
relationship ^nn++++=relationship
between ^in++++=between
physics ^nn++++=physics
soil ^nn++++=soil
and ^cc++++=and
soil ^nn++++=soil
organic ^jj+atrb+++=organic
matter ^nn++++=matter
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
evaluation ^vb++++=evaluation
of ^in++++=of
structure ^nn++++=structure
and ^cc++++=and
fertility ^nn++++=fertility
in ^in++++=in
forest ^nn++++=forest
soils ^nns++++=soils.
. ^zz++++=EXTRAWORD
A ^at++++=A
riparian ^nn+++??+=riparian
forest ^nn++++=forest
was ^vbd+bedz+vrb++=was
rehabilitated ^nn+++??+=rehabilitated
with ^in++++=with
exotic ^jj+atrb+++=exotic
plant ^nn++++=plant
species ^nn++++=species
( ^zz++++=(Syzygium
syzygium ^nn+++??+=EXTRAWORD
cumini ^nn+++??+=cumini).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Rehabilitation ^nn++++=Rehabilitation
was ^vbd+bedz+aux++=was
evaluated ^vpsv++agls+xvbnx+=evaluated
estimating ^vbg+++xvbg+=estimating
physical ^jj+atrb+++=physical
and ^cc+phrs+++=and
chemical ^jj+atrb+++=chemical
properties ^nns++++=properties
soils ^nns++++=soils
such ^abl++++=such
as ^ql++++=as
soil ^nn++++=soil
aggregation ^nn++++=aggregation,
, ^zz++++=EXTRAWORD
soil ^nn++++=soil
porosity ^nn++++=porosity,
, ^zz++++=EXTRAWORD
humic ^nn+++??+=humic
acid ^jj+atrb+++=acid
content ^nn++++=content,
, ^zz++++=EXTRAWORD
humic ^nn+++??+=humic
acid ^jj+atrb+++=acid
composition ^nn++++=composition
and ^cc++++=and
glomalin ^nn+++??+=glomalin
content ^nn++++=content
as ^ql++++=as
indicators ^nns++++=indicators
of ^in++++=of
environmental ^jj+atrb+++=environmental
restoration ^nn++++=restoration
services ^nns++++=services.
. ^zz++++=EXTRAWORD
Results ^nns++++=Results
were ^vbd+bed+aux++=were
compared ^vpsv++agls+xvbnx+=compared
to ^in++++=to
others ^aps++++=others
two ^cd++++=two
reference ^nn++++=reference
areas ^nns++++=areas:
: ^zz++++=EXTRAWORD
one ^cd1++++=one
disturbed ^jj+atrb++xvbn+=disturbed
site ^nn++++=site
( ^zz++++=(DS)
ds ^npt++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
one ^cd1++++=one
preserved ^jj+atrb++xvbn+=preserved
site ^nn++++=site
( ^zz++++=(PS).
ps ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Non ^&fw++++=Non-parametric
- ^zz++++=EXTRAWORD
parametric ^nn+++??+=EXTRAWORD
tests ^nns++++=tests
and ^cc++++=and
Pca ^np+++??+=PCA
were ^vbd+bed+aux++=were
used ^vpsv++++=used
to ^to++++=to
assess ^vb++++=assess
the ^ati++++=the
similarities ^nns++++=similarities
and ^cc++++=and
dissimilarities ^nns++++=dissimilarities
between ^in++++=between
the ^ati++++=the
Es ^&fw++++=ES,
, ^zz++++=EXTRAWORD
Ps ^&fo++++=PS
and ^cc++++=and
Ds ^nn++++=DS.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
significant ^jj+atrb+++=significant
difference ^nn++++=difference
between ^in++++=between
Es ^&fw++++=ES
and ^cc++++=and
Ps ^&fo++++=PS
in ^in++++=in
relation ^nn++++=relation
to ^in++++=to
aggregate ^nn++++=aggregate
stability ^nn++++=stability,
, ^zz++++=EXTRAWORD
microporosity ^nn+++??+=microporosity
and ^cc++++=and
glomalin ^nn+++??+=glomalin
content ^nn++++=content
probably ^rb++++=probably
because ^cs+cos+++=because
of ^in++++=of
the ^ati++++=the
soil ^nn++++=soil
C ^zz++++=C
organic ^jj+atrb+++=organic
content ^nn++++=content.
. ^zz++++=EXTRAWORD
Humic ^np+++??+=Humic
