<CorIFA-UFMG-B1.Ind.E.Abs.2016-2.0919.0525><Abstract>
Over ^in++++=Over
the ^ati++++=the
last ^jj+atrb+++=last
decades ^nns++++=decades,
, ^zz++++=EXTRAWORD
a ^at++++=a
number ^nn++++=number
of ^in++++=of
studies ^nns++++=studies
on ^in++++=on
reading ^xvbg+++xvbg+=reading
skills ^nns++++=skills
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
conducted ^vpsv++agls+xvbnx+=conducted
in ^in++++=in
Brazil ^np++++=Brazil
by ^in++++=by
professionals ^nns++++=professionals
from ^in++++=from
different ^jj+atrb+++=different
fields ^nns++++=fields
as ^ql++++=as
Pedagogy ^np+++??+=Pedagogy,
, ^zz++++=EXTRAWORD
Psychology ^nn++++=Psychology
and ^cc++++=and
Linguistics ^nn++++=Linguistics.
. ^zz++++=EXTRAWORD
Nonetheless ^rb+cnj+++=Nonetheless,
, ^zz++++=EXTRAWORD
the ^ati++++=the
majority ^nn++++=majority
Brazilian ^jj+atrb+++=Brazilian
students ^nns++++=students
from ^in++++=from
elementary ^jj+atrb+++=elementary
and ^cc+phrs+++=and
high ^jj+atrb+++=high
school ^nn++++=school
have ^vb+hv+aux++=have
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
showing ^vbg+vprv++xvbgx+=showing
a ^at++++=a
good ^jj+atrb+++=good
performance ^nn++++=performance
in ^in++++=in
relation ^nn++++=relation
to ^in++++=to
this ^dt+dem+++=this
linguistic ^jj+atrb+++=linguistic
competence ^nn++++=competence.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
demonstrated ^vpsv++by+xvbnx+=demonstrated
by ^in++++=by
the ^ati++++=the
main ^jjb++++=main
national ^jj+atrb+++=national
and ^cc+phrs+++=and
international ^jj+atrb+++=international
exams ^nns++++=exams
( ^zz++++=(SAEB
saeb ^nn+++??+=EXTRAWORD
and ^cc++++=and
Pisa ^np++++=PISA),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
measure ^vb++++=measure
the ^ati++++=the
quality ^nn++++=quality
of ^in++++=of
basic ^jj+atrb+++=basic
education ^nn++++=education.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
a ^at++++=a
consensus ^nn++++=consensus
between ^in++++=between
researchers ^nns+++??+=researchers
and ^cc++++=and
professionals ^nns++++=professionals
of ^in++++=of
education ^nn++++=education
