<CorIFA-UFMG-B1.Ind.E.Abs.2016-2.0921.0520>
<Abstract>
Currently ^rb++++=Currently
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
so ^ql++++=so
many ^ap++++=many
ways ^nns++++=ways
to ^in++++=to
view ^nn++++=view
the ^ati++++=the
prejudice ^nn++++=prejudice
in ^in++++=in
everywhere ^rb+cnj+++=everywhere,
, ^zz++++=EXTRAWORD
so ^ql++++=so
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
just ^rb+emph+++=just
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
look ^vbi++++=look
around ^rb+phrv+++=around
and ^cc++++=and
perceive ^vb+vprv+++=perceive
how ^wrb+who+whcl++=how
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
manipulated ^vpsv++agls+xvbnx+=manipulated.
. ^zz++++=EXTRAWORD
In ^in++++=In
advertisements ^nns++++=advertisements,
, ^zz++++=EXTRAWORD
on ^in++++=on
Tv ^nn++++=TV,
, ^zz++++=EXTRAWORD
all ^abn++++=all
over ^in++++=over
even ^rb++++=even
in ^in++++=in
the ^ati++++=the
search ^nn++++=search
engines ^nns++++=engines.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
conducted ^vbd+++xvbn+=conducted
experiments ^nns++++=experiments
on ^in++++=on
Google ^np+++??+=Google
and ^cc++++=and
Bing ^np+++??+=Bing
by ^in++++=by
querying ^nn+++??+=querying
the ^ati++++=the
search ^nn++++=search
engines ^nns++++=engines
for ^in++++=for
beautiful ^jj+atrb+++=beautiful
and ^cc+phrs+++=and
ugly ^jj+atrb+++=ugly
women ^nns++++=women,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
can ^md+pos+++=can
see ^vb+vprv+++=see
that ^tht+vcmp+++=that
stereotyping ^nn+++??+=stereotyping
are ^vb+ber+aux++=are
formed ^vpsv++by+xvbnx+=formed
by ^in++++=by
ideas ^nns++++=ideas
of ^in++++=of
social ^jj+atrb+++=social
groups ^nns++++=groups
and ^cc++++=and
they ^pp3a+pp3+++=they
can ^md+pos+++=can
be ^vb+be+vrb++=be
positive ^jj+pred+++=positive,
, ^zz++++=EXTRAWORD
neutral ^jj++++=neutral
or ^cc+phrs+++=or
negative ^jj++++=negative.
. ^zz++++=EXTRAWORD
The ^ati++++=The
main ^jjb+atrb+++=main
idea ^nn++++=idea
of ^in++++=of
this ^dt+dem+++=this
article ^nn++++=article
is ^vbz+bez+vrb++=is
analize ^nn+++??+=analize
and ^cc++++=and
identify ^vb++++=identify
stereotypes ^nns+++??+=stereotypes
for ^in++++=for
female ^jj+atrb+++=female
physical ^jj+atrb+++=physical
attractiveness ^nns+++??+=attractiveness
in ^in++++=in
images ^nns++++=images
avaliable ^nn+++??+=avaliable
on ^in++++=on
the ^ati++++=the
Web ^nn++++=Web.
