<CorIFA-UFMG-B1.Ind.E.Abs.2016-2.0922.0522>
<ABSTRACT>
Plants ^nns++++=Plants
are ^vb+ber+vrb++=are
sources ^nns++++=sources
of ^in++++=of
substances ^nns++++=substances
called ^vbd+++xvbn+=called
secondary ^jj+atrb+++=secondary
metabolites ^nns++++=metabolites.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
substances ^nns++++=substances
have ^vb+hv+vrb++=have
important ^jj+atrb+++=important
biological ^jj+atrb+++=biological
activities ^nns++++=activities,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
pentacyclic ^nn+++??+=pentacyclic
triterpenes ^nns+++??+=triterpenes
with ^in++++=with
antibacterial ^nn+++??+=antibacterial
activity ^nn++++=activity.
. ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
of ^in++++=of
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
used ^vpsv++agls+xvbnx+=used
in ^in++++=in
the ^ati++++=the
preparation ^nn++++=preparation
of ^in++++=of
home ^nr++++=home
remedies ^nns++++=remedies,
, ^zz++++=EXTRAWORD
through ^in++++=through
folk ^jjb+atrb+++=folk
medicine ^nn++++=medicine
knowledge ^nn++++=knowledge.
. ^zz++++=EXTRAWORD
An ^at++++=An
example ^nn++++=example
of ^in++++=of
plant ^nn++++=plant
s ^zz++++=s
family ^nn++++=family
with ^in++++=with
important ^jj+atrb+++=important
substances ^nns++++=substances
is ^vbz+bez+vrb++=is
Celastraceae ^np+++??+=Celastraceae.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
family ^nn++++=family
can ^md+pos+++=can
be ^vb+be+aux++=be
found ^vpsv++agls+xvbnx+=found
all ^abn++++=all
around ^rp++++=around
the ^ati++++=the
world ^nn++++=world
in ^in++++=in
a ^at++++=a
variety ^nn++++=variety
of ^in++++=of
species ^nn++++=species,
, ^zz++++=EXTRAWORD
colors ^nns+++??+=colors
and ^cc++++=and
fruits ^nns++++=fruits.
. ^zz++++=EXTRAWORD
In ^in++++=In
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
Celastraceae ^np+++??+=Celastraceae
has ^vbz+hvz+vrb++=has
species ^nns++++=species
that ^tht+rel+subj++=that
can ^md+pos+++=can
be ^vb+be+aux++=be
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
the ^ati++++=the
Cerrado ^np+++??+=Cerrado,
, ^zz++++=EXTRAWORD
a ^at++++=a
national ^jj+atrb+++=national
biome ^nn+++??+=biome.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
species ^nns++++=species
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
used ^vpsv++agls+xvbnx+=used
at ^rb++++=at
traditional ^jj+atrb+++=traditional
medicine ^nn++++=medicine
as ^in++++=as
anti ^nn+++??+=anti-inflammatories,
- ^zz++++=EXTRAWORD
inflammatories ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
analgesics ^nns++++=analgesics
and ^cc++++=and
in ^in++++=in
the ^ati++++=the
treatment ^nn++++=treatment
of ^in++++=of
gastric ^jj+atrb+++=gastric
ulcers ^nns++++=ulcers.
. ^zz++++=EXTRAWORD
Tontelea ^np+++??+=Tontelea
micrantha ^nn+++??+=micrantha,
, ^zz++++=EXTRAWORD
popularly ^rb++++=popularly
known ^vbn+vprv++xvbn+=known
as ^ql++++=as
bacupari ^nn+++??+=bacupari
, ^zz++++=,
is ^vbz+bez+vrb++=is
a ^at++++=a
specie ^nn+++??+=specie
of ^in++++=of
Celastraceae ^np+++??+=Celastraceae
family ^nn++++=family
used ^vwbn+++xvbn+=used
for ^in++++=for
treating ^xvbg+++xvbg+=treating
kidney ^nn++++=kidney
diseases ^nns++++=diseases
and ^cc++++=and
also ^rb++++=also
as ^in++++=as
an ^at++++=an
insecticide ^nn++++=insecticide.
. ^zz++++=EXTRAWORD
T.micrantha ^np+++??+=T.micrantha
has ^vbz+hvz+vrb++=has
many ^ap++++=many
qualities ^nns++++=qualities:
: ^zz++++=EXTRAWORD
It ^pp3+it+++=It
presents ^vbz++++=presents
edible ^jj+atrb+++=edible
fruits ^nns++++=fruits
and ^cc++++=and
from ^in++++=from
their ^pp$+pp3+++=their
seeds ^nns++++=seeds
an ^at++++=an
oil ^nn++++=oil
is ^vbz+bez+aux++=is
extracted ^vpsv++agls+xvbnx+=extracted.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
oil ^nn++++=oil
can ^md+pos+++=can
be ^vb+be+aux++=be
used ^vpsv++agls+xvbnx+=used
in ^in++++=in
infection ^nn++++=infection
recovery ^nn++++=recovery.
. ^zz++++=EXTRAWORD
Also ^rb+cnj+++=Also,
, ^zz++++=EXTRAWORD
from ^in++++=from
their ^pp$+pp3+++=their
roots ^nns++++=roots,
, ^zz++++=EXTRAWORD
substances ^nns++++=substances
can ^md+pos+++=can
be ^vb+be+aux++=be
used ^vpsv++agls+xvbnx+=used
in ^in++++=in
curing ^vbg+++xvbg+=curing
kidney ^nn++++=kidney
problems ^nns++++=problems.
. ^zz++++=EXTRAWORD
More ^ql++++=More
than ^cs+sub+++=than
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
leaves ^nns++++=leaves
of ^in++++=of
T.micrantha ^np+++??+=T.micrantha
can ^md+pos+++=can
