Host ^nn++++=HOST-PARASITE
- ^zz++++=EXTRAWORD
parasite ^nn++++=EXTRAWORD
Interactions ^nns+nom++??+=INTERACTIONS:
: ^zz++++=EXTRAWORD
On ^in++++=ON
The ^ati++++=THE
Presumed ^jj+++xvbn+=PRESUMED
Sympatric ^np+++??+=SYMPATRIC
Speciation ^np+nom++??+=SPECIATION
Of ^in++++=OF
Vidua ^np+++??+=VIDUA
Introduction ^nn+nom+++=Introduction:
: ^zz++++=EXTRAWORD
Ernst ^np+++??+=Ernst
Mayr ^np+++??+=Mayr
once ^rb+tm+++=once
wrote ^vbd+vprv++xvbn+=wrote,
, ^zz++++=EXTRAWORD
' ^zz++++='sympatric
sympatric ^jj+atrb+++=EXTRAWORD
speciation ^nn+nom+++=speciation
is ^vbz+bez+vrb++=is
like ^in++++=like
the ^ati++++=the
Lernaean ^np+nom++??+=Lernaean
Hydra ^np+++??+=Hydra
which ^whp+rel+subj++=which
grew ^vbd+++xvbn+=grew
two ^cd++++=two
new ^jj+atrb+++=new
heads ^nns++++=heads
whenever ^nn+nom+++=whenever
one ^pn++++=one
of ^in++++=of
its ^pp$+it+++=its
old ^jj+atrb+++=old
heads ^nns++++=heads
was ^vbd+bedz+aux++=was
cut ^vpsv++agls+xvbnx+=cut
off ^rb+phrv+++=off'
' ^zz++++=EXTRAWORD
( ^zz++++=(1963:451).
1963:451 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
observation ^nn+nom+++=observation,
, ^zz++++=EXTRAWORD
from ^in++++=from
his ^pp$+pp3+++=his
landmark ^nn++++=landmark
text ^nn++++=text
Animal ^nn++++=Animal
Species ^nns++++=Species
and ^cc++++=and
Evolution ^nn+nom+++=Evolution,
, ^zz++++=EXTRAWORD
marks ^nns++++=marks
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
his ^pp$+pp3+++=his
systematic ^jj+atrb+++=systematic
confutation ^nn+nom+++=confutation
of ^in++++=of
all ^abn++++=all
evidence ^nn+nom+++=evidence
and ^cc++++=and
theory ^nn++++=theory
pertaining ^vwbg+++xvbg+=pertaining
to ^in++++=to
the ^ati++++=the
possibility ^nn+nom+++=possibility
of ^in++++=of
sympatric ^jj+atrb+++=sympatric
speciation ^nn+nom+++=speciation
available ^jj++++=available
at ^rb++++=at
that ^dt+dem+++=that
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Much ^ap++++=Much
has ^vbz+hvz+aux++=has
changed ^vprf+++xvbnx+=changed,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
field ^nn++++=field
of ^in++++=of
biology ^nn++++=biology
since ^in++++=since
' ^zz++++='63,
63 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
