Sensory ^jj+atrb+++=SENSORY
Drive ^nn++++=DRIVE
And ^cc++++=AND
Speciation ^np+nom++??+=SPECIATION
Do ^vb+do+vrb++=Do
ecological ^jj+atrb+++=ecological
constraints ^nns+++??+=constraints
favour ^nn++++=favour
certain ^jj+atrb+++=certain
perceptual ^jj+atrb+++=perceptual
systems ^nns++++=systems
and ^cc++++=and,
, ^zz++++=EXTRAWORD
thus ^rb+cnj+++=thus,
, ^zz++++=EXTRAWORD
generate ^nn+nom+++=generate
species ^nn++++=species-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
modes ^nns++++=modes
of ^in++++=of
mate ^nn++++=mate
signalling ^vwbg+++xvbg+=signalling;
; ^zz++++=EXTRAWORD
or ^cc+cls+++=or,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=do
these ^dt+dem+++=these
modes ^nns++++=modes
and ^cc++++=and
traits ^nns++++=traits
vary ^vb++++=vary
arbitrarily ^rb++++=arbitrarily?
? ^zz++++=EXTRAWORD
Boughman ^np+nom++??+=Boughman
( ^zz++++=(2002)
2002 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
proposes ^vbz+vsua+++=proposes
that ^tht+vcmp+++=that
while ^cs+sub+++=while
Fisher ^np++++=Fisher's
's ^$++++=EXTRAWORD
runaway ^jjb+atrb+++=runaway
model ^nn++++=model
accurately ^rb++++=accurately
predicts ^vbz+vpub+++=predicts
the ^ati++++=the
exaggeration ^nn+nom+++=exaggeration
of ^in++++=of
males ^nns++++=males
signalling ^vwbg+++xvbg+=signalling
traits ^nns++++=traits
a ^at++++=a
more ^rbr++++=more
holistic ^jj+atrb+++=holistic
model ^nn++++=model
based ^vwbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
exact ^jj+atrb+++=exact
nature ^nn++++=nature
of ^in++++=of
the ^ati++++=the
environment ^nn+nom+++=environment
and ^cc++++=and
the ^ati++++=the
physiology ^nn++++=physiology
of ^in++++=of
the ^ati++++=the
organism ^nn+nom+++=organism,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
perceptual ^jj+atrb+++=perceptual
systems ^nns++++=systems,
, ^zz++++=EXTRAWORD
better ^jjr++++=better
explains ^vbz+vpub+++=explains
interspecific ^jj+atrb+++=interspecific
differences ^nns+nom+++=differences.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
Boughman ^np+nom++??+=Boughman
suggests ^vbz+vpub+++=suggests
clinal ^jj++++=clinal-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
differences ^nns+nom+++=differences
in ^in++++=in
