On ^in++++=ON
The ^ati++++=THE
Origins ^nns++++=ORIGINS
Of ^in++++=OF
Man ^nn++++=MAN:
: ^zz++++=EXTRAWORD
Understanding ^nvbg+++xvbg+=UNDERSTANDING
The ^ati++++=THE
Last ^ap++++=LAST
Two ^cd++++=TWO
Million ^cd++++=MILLION
Years ^nns++++=YEARS
Introduction ^nn+nom+++=INTRODUCTION:
: ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
past ^jjb++++=past
two ^cd++++=two
decades ^nns++++=decades,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
understanding ^nvbg+++xvbg+=understanding
of ^in++++=of
the ^ati++++=the
human ^jj+atrb+++=human
genome ^nn+++??+=genome
has ^vbz+hvz+aux++=has
increased ^vprf+++xvbnx+=increased
at ^rb++++=at
remarkable ^jj+atrb+++=remarkable
rate ^nn++++=rate.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
expansion ^nn++++=expansion
of ^in++++=of
our ^pp$+pp1+++=our
genetic ^jj+atrb+++=genetic
knowledge ^nn++++=knowledge
promised ^vbd+++xvbn+=promised
to ^to+vcmp+++=to
resolve ^vbi++++=resolve
longstanding ^jj+atrb++xvbg+=longstanding
questions ^nns+nom+++=questions
regarding ^in++++=regarding
the ^ati++++=the
origins ^nns++++=origins
and ^cc++++=and
evolution ^nn+nom+++=evolution
of ^in++++=of
mankind ^nn++++=mankind
( ^zz++++=(Eller,
eller ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
nearly ^rb+down+++=nearly
fifteen ^cd++++=fifteen
years ^nns++++=years
of ^in++++=of
research ^nn++++=research,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
understanding ^nvbg+++xvbg+=understanding
remains ^nns++++=remains
limited ^vbd+++xvbn+=limited;
; ^zz++++=EXTRAWORD
genes ^nns++++=genes
have ^vb+hv+aux++=have
raised ^vprf+++xvbnx+=raised
far ^rb+pl+++=far
more ^ql++++=more
questions ^nns+nom+++=questions
then ^rn+tm+++=then
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
answered ^vprf+++xvbnx+=answered.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
models ^nns++++=models,
, ^zz++++=EXTRAWORD
proposed ^j+++xvbn+=proposed
nearly ^rb+down+++=nearly
thirty ^cd++++=thirty
years ^nns++++=years
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
still ^rb++++=still
hold ^vb+vprv+++=hold
weight ^nn++++=weight
in ^in++++=in
the ^ati++++=the
anthropological ^jj+atrb+++=anthropological
community ^nn+nom+++=community:
: ^zz++++=EXTRAWORD
the ^ati++++=the
Multiregional ^np+nom++??+=Multiregional
and ^cc++++=and
the ^ati++++=the
Replacement ^nn+nom+++=Replacement
model ^nn++++=model
of ^in++++=of
the ^ati++++=the
evolution ^nn+nom+++=evolution
of ^in++++=of
mankind ^nn++++=mankind
( ^zz++++=(Eller,
eller ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
