Lab ^nn++++=Lab
3 ^zz++++=3:
: ^zz++++=EXTRAWORD
Plant ^nn++++=Plant
Competition ^nn+nom+++=Competition
Introduction ^nn+nom+++=Introduction
The ^ati++++=The
ability ^nn+nom+++=ability
of ^in++++=of
a ^at++++=a
species ^nn++++=species
to ^to++++=to
compete ^vbi++++=compete
for ^in++++=for
limited ^jj+atrb++xvbn+=limited
resources ^nns++++=resources
is ^vbz+bez+vrb++=is
often ^rb++++=often
central ^jj+pred+++=central
to ^in++++=to
its ^pp$+it+++=its
ability ^nn+nom+++=ability
to ^to+ncmp+++=to
survive ^vbi++++=survive
in ^in++++=in
a ^at++++=a
given ^jj+atrb++xvbn+=given
environment ^nn+nom+++=environment.
. ^zz++++=EXTRAWORD
Different ^jj+atrb+++=Different
species ^nn++++=species
possess ^nns+nom+++=possess
differential ^jj+atrb+++=differential
competitive ^jj+atrb+++=competitive
abilities ^nns+nom+++=abilities,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
often ^rb++++=often
dependent ^jj+pred+++=dependent
upon ^in++++=upon
environmental ^jj+atrb+++=environmental
conditions ^nns+nom+++=conditions.
. ^zz++++=EXTRAWORD
For ^in++++=For
all ^abn++++=all
organisms ^nns+nom+++=organisms,
, ^zz++++=EXTRAWORD
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
competition ^nn+nom+++=competition
become ^vb++++=become
more ^rbr++++=more
pronounced ^jj+++xvbn+=pronounced
with ^in++++=with
an ^at++++=an
increase ^nn++++=increase
in ^in++++=in
density ^nn+nom+++=density
because ^cs+cos+++=because
more ^ql++++=more
organisms ^nns+nom+++=organisms
are ^vb+ber+aux++=are
searching ^vbg+++xvbgx+=searching
for ^in++++=for
resources ^nns++++=resources
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
areas ^nns++++=areas,
, ^zz++++=EXTRAWORD
depleting ^jj+++xvbg+=depleting
the ^ati++++=the
resources ^nns++++=resources
to ^in++++=to
continually ^rb++++=continually
lower ^jjr+atrb+++=lower
levels ^nns++++=levels.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
way ^nn++++=way
that ^tht+rel+obj++=that
plants ^nns++++=plants
gain ^vb++++=gain
a ^at++++=a
competitive ^jj+atrb+++=competitive
edge ^nn++++=edge
is ^vbz+bez+vrb++=is
by ^in++++=by
forming ^xvbg+++xvbg+=forming
mutualistic ^jj+atrb+++=mutualistic
relationships ^nns+nom+++=relationships
with ^in++++=with
other ^ap++++=other
organisms ^nns+nom+++=organisms,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
working ^jj+++xvbg+=working
together ^nn+nom+++=together
to ^to++++=to
promote ^vbi++++=promote
mutual ^jj+atrb+++=mutual
survival ^nn+nom+++=survival.
. ^zz++++=EXTRAWORD
Rhizobium ^np+++??+=Rhizobium
bacteria ^nns++++=bacteria
have ^vb+hv+vrb++=have
a ^at++++=a
symbiotic ^jj+atrb+++=symbiotic
relationship ^nn+nom+++=relationship
with ^in++++=with
the ^ati++++=the
roots ^nns++++=roots
of ^in++++=of
legumes ^nns+++??+=legumes
in ^in++++=in
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
fix ^vb++++=fix
atmospheric ^jj+atrb+++=atmospheric
nitrogen ^nn++++=nitrogen
and ^cc++++=and
provide ^vb+vsua+tht0++=provide
it ^pp3+it+++=it
to ^in++++=to
the ^ati++++=the
plant ^nn++++=plant
in ^in++++=in
exchange ^in"++++=exchange
for ^in"++++=for
resources ^nns++++=resources
such ^abl++++=such
as ^ql++++=as
carbon ^nn++++=carbon
( ^zz++++=(Begon,
begon ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
experiment ^nn+nom+++=experiment
we ^pp1a+pp1+++=we
examined ^vbd+++xvbn+=examined
how ^wrb+who+++=how
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
Rhizobium ^np+++??+=Rhizobium
affected ^vwbn+++xvbn+=affected
the ^ati++++=the
competitive ^jj+atrb+++=competitive
ability ^nn+nom+++=ability
of ^in++++=of
red ^jj+atrb+++=red
clover ^nn++++=clover
( ^zz++++=(Trifolium
trifolium ^nn+++??+=EXTRAWORD
pretense ^nn+++??+=pretense)
) ^zz++++=EXTRAWORD
which ^whp+who+++=which
is ^vbz+bez+vrb++=is
a ^at++++=a
legume ^nn+++??+=legume,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
grown ^vprf+++xvbn+=grown
with ^in++++=with
red ^jj+atrb+++=red
fescue ^nn+++??+=fescue
( ^zz++++=(Festuca
festuca ^nn+++??+=EXTRAWORD
rubra ^nn+++??+=rubra)
) ^zz++++=EXTRAWORD
which ^whp+who+++=which
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
leguminous ^jj++++=leguminous.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
hypothesized ^vbd+++xvbn+=hypothesized
that ^tht+vcmp+++=that
Rhizobium ^np+++??+=Rhizobium
form ^nn++++=form
a ^at++++=a
mutualistic ^jj+atrb+++=mutualistic
relationship ^nn+nom+++=relationship
with ^in++++=with
legumes ^nns+++??+=legumes
and ^cc++++=and
provide ^vb+vsua+++=provide
it ^pp3+it+++=it
with ^in++++=with
nitrogen ^nn++++=nitrogen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
this ^dt+dem+++=this
we ^pp1a+pp1+++=we
predicted ^vbd+vpub++xvbn+=predicted
that ^tht+vcmp+++=that
red ^jj+atrb+++=red
clover ^nn++++=clover
would ^md+prd+++=would
compete ^vb++++=compete
better ^jjr++++=better
against ^in++++=against
red ^jj+atrb+++=red
fescue ^nn+++??+=fescue
( ^zz++++=(a
a ^at++++=EXTRAWORD
grass ^nn++++=grass)
) ^zz++++=EXTRAWORD
in ^in++++=in
environments ^nns+nom+++=environments
with ^in++++=with
Rhizobium ^np+++??+=Rhizobium
present ^nn++++=present.
. ^zz++++=EXTRAWORD
Results ^nns++++=Results
Our ^pp$+pp1+++=Our
results ^nns++++=results
did ^vbd+dod+aux++=did
not ^xnot++not++=not
indicate ^nn+nom+++=indicate
a ^at++++=a
difference ^nn+nom+++=difference
in ^in++++=in
competitive ^jj+atrb+++=competitive
ability ^nn+nom+++=ability
of ^in++++=of
red ^jj+atrb+++=red
fescue ^nn+++??+=fescue
in ^in++++=in
the ^ati++++=the
presence ^nn+nom+++=presence
or ^cc++++=or
absence ^nn+nom+++=absence
of ^in++++=of
Rhizobium ^np+++??+=Rhizobium.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+aux++=is
illustrated ^vpsv++by+xvbnx+=illustrated
by ^in++++=by
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
the ^ati++++=the
confidence ^nn+nom+++=confidence
intervals ^nns+nom+++=intervals
in ^in++++=in
the ^ati++++=the
linear ^jj+atrb+++=linear
regression ^nn++++=regression
graphs ^nns++++=graphs
are ^vb+ber+aux++=are
broadly ^rb+down+splt++=broadly
overlapping ^vbg+++xvbgx+=overlapping
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
R ^zz++++=R
squared ^vbd+++xvbn+=squared
values ^nns++++=values
for ^in++++=for
the ^ati++++=the
Rhizobium ^np+++??+=Rhizobium
and ^cc++++=and
no ^at++++=no
Rhizobium ^np+++??+=Rhizobium
treatments ^nns+nom+++=treatments
of ^in+strn+++=of
. ^zz++++=.810
810 ^cd++++=EXTRAWORD
and ^cc++++=and
. ^zz++++=.778
778 ^cd++++=EXTRAWORD
respectively ^rb++++=respectively
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
the ^ati++++=the
best ^jjt+atrb+++=best
fit ^jj+atrb+++=fit
lines ^nns++++=lines
in ^in++++=in
the ^ati++++=the
graph ^nn++++=graph
are ^vb+ber+vrb++=are
accurate ^jj+atrb+++=accurate
representations ^nns+nom+++=representations
of ^in++++=of
our ^pp$+pp1+++=our
data ^nns++++=data.
. ^zz++++=EXTRAWORD
The ^ati++++=The
p ^zz++++=p-values
- ^zz++++=EXTRAWORD
values ^nns++++=EXTRAWORD
of ^in+strn+++=of
. ^zz++++=.038
038 ^nn+++??+=EXTRAWORD
and ^cc++++=and
. ^zz++++=.048
048 ^nn+++??+=EXTRAWORD
for ^in++++=for
the ^ati++++=the
R ^zz++++=R
square ^npl++++=square
data ^nns++++=data
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
statistically ^rb++++=statistically
significant ^jj+pred+++=significant,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
means ^nns++++=means
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
significant ^jj+atrb+++=significant
relationship ^nn+nom+++=relationship
between ^in++++=between
target ^nn++++=target
weight ^nn++++=weight
and ^cc++++=and
neighbor ^nn++++=neighbor
density ^nn+nom+++=density
and ^cc+cls+++=and
hence ^rb+cnj+++=hence
that ^cs+sub+++=that
competition ^nn+nom+++=competition
is ^vbz+bez+aux++=is
occurring ^vbg+++xvbgx+=occurring.
. ^zz++++=EXTRAWORD
Discussion ^nn++++=Discussion
Our ^pp$+pp1+++=Our
results ^nns++++=results
did ^vbd+dod+aux++=did
not ^xnot++not++=not
support ^vb++++=support
our ^pp$+pp1+++=our
prediction ^nn+nom+++=prediction
that ^tht+ncmp+++=that
red ^jj+atrb+++=red
clover ^nn++++=clover
would ^md+prd+++=would
compete ^vb++++=compete
better ^jjr++++=better
in ^in++++=in
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
Rhizobium ^np+++??+=Rhizobium.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
explanation ^nn+nom+++=explanation
for ^in++++=for
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
the ^ati++++=the
possibility ^nn+nom+++=possibility
that ^tht+ncmp+++=that
we ^pp1a+pp1+++=we
made ^vbd+++xvbn+=made
some ^dti++++=some
incorrect ^jj+atrb+++=incorrect
assumptions ^nns+nom+++=assumptions
as ^in++++=as
part ^nn++++=part
of ^in++++=of
our ^pp$+pp1+++=our
experimental ^jj+atrb+++=experimental
model ^nn++++=model.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
important ^jj+atrb+++=important
